City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Cabo San Lucas,MX,2021-03-28 13:37:28,22.8909,-109.9124,59.0,63,20,1.07
278,Grand Gaube,MU,2021-03-28 13:37:28,-20.0064,57.6608,84.99,66,20,4.0
279,Yatou,CN,2021-03-28 13:37:28,37.15,122.3833,47.82,43,3,8.3
280,Alugan,PH,2021-03-28 13:37:29,12.2188,125.4808,79.52,84,100,8.12
281,Irkutsk,RU,2021-03-28 13:37:29,52.2978,104.2964,33.8,55,0,6.71
282,Marawi,PH,2021-03-28 13:37:29,7.9986,124.2928,80.01,85,100,5.01
283,Deputatskiy,RU,2021-03-28 13:37:29,69.3,139.9,-4.58,99,95,4.74
284,Tirumullaivasal,IN,2021-03-28 13:37:30,11.2333,79.8333,82.15,82,3,13.85
285,Pisco,PE,2021-03-28 13:37:30,-13.7,-76.2167,71.6,78,30,3.44
286,Quatre Cocos,MU,2021-03-28 13:37:30,-20.2078,57.7625,84.99,74,40,3.44
287,Gizo,SB,2021-03-28 13:37:30,-8.103,156.8419,82.63,75,97,7.81
288,Palaikastron,GR,2021-03-28 13:37:31,35.2,26.25,63.0,42,0,10.6
289,Mulanje,MW,2021-03-28 13:37:31,-16.0316,35.5,76.39,84,23,6.46
290,Krutikha,RU,2021-03-28 13:37:31,53.9599,81.2093,32.09,97,100,6.11
291,Vila Velha,BR,2021-03-28 13:37:05,-20.3297,-40.2925,86.0,66,0,6.91
292,Hokitika,NZ,2021-03-28 13:37:31,-42.7167,170.9667,60.12,94,96,2.64
